Ajuliacosta,38789833
Alee,163853332
Anezzi,234957651
Aren,47962390
Azzy,837216779
Baco Exu do Blues,2068147574
Big Bllakk,113993794
Big Rush,36783693
BK,1014554036
Black,251611729
Bob do Contra,1042692870
Budah,207519774
Caio Luccas,802456399
César MC,1014956518
Choice,157919711
Chris MC,1147327325
Clara Lima,26967438
Clau,375740318
Costa Gold,927682657
Cynthia Luz,432593576
Delacruz,1867169276
Derek,409809727
Didi,71677860
Diomedes,27421126
Djonga,2104875314
DK 47,308681795
Don L,308039253
Drik Barbosa,118531928
Ducon,700915022
Dudu,213606887
Ebony,99804712
Emicida,1324915255
Felipe Ret,2386785850
Flacko,110965018
Flora Matos,472466121
Froid,599714500
Gaab,1058180132
Hungria,2671550065
Hyperanhas,106765819
JayA Luuck,198055376
Jé Santiago,428794745
Jovem Dex,565160910
Jxnvs,293010538
Karol Conka,232138335
Kawe,651003494
KayBlack,2653337346
Kweller,249120058
L7nnon,2978645358
Leall,284981721
LORD ADL,199934915
Lourena,859005159
Luccas Carlos,776768701
Luiz Lins,821276768
Major RD,663736512
Maolee,249101162
Maquiny,836843994
Marcelo D2,711026153
Marechal,65208058
Maru2d,13743937
Matuê,4248359501
Mc Daniel,1244948815
Mc Don Juan,4059675247
MC GP,691365224
MC Hariel,2588185512
MC K9,150278773
MC Kevin o Chris,2447390496
Mc Maneirinho,451673948
MC Paulin da Capital,698149965
MC PH,1638539359
Mc Rodson,333326262
MC Ryan SP,4493272662
MD Chefe,567985670
Menestrel,169417203
Menor MC,518273531
N.I.N.A,262202513
Nagalli,686808215
Negra Li,745555583
NGC Daddy,243642384
Palma,324332615
PJ Houdini,230757651
Pk,955673305
Predella,197295758
Projota,1589710825
Racionais MCs,1811422890
Raffa Moreira,95235695
Raflow,28585720
Rashid,439090942
Ryan Realcria,44588222
Sain,129075534
Salve Malak,41499128
Sant,436908791
Scarp,14601819
Sidoka,991863712
Slipmami,80321734
Tasha & Tracie,227522705
Teto,1935386739
Tropkillaz,658107608
TZ da Coronel,1653741423
Veigh,2528142369
Victor WAO,395524578
Vulgo FK,1562862603
WIU,1806622560
Xamã,2105586817
Kayuá,137241935
Tiago Mac,38571572
MV Bill,158904913
Mac Julia,167708514
Mc Luanna,168013941
MC Ig,2544189837
Pk Delas,134590443
Pk Freestyle,815264285
Oik,334425185
Igor Adamovich,92081182
Mago de Tarso,4734894
Ariel Donato,411552722
Cjota,246980492
San Joe,216183329
Pellé Milflows,268799210
Funkero,28181457
Derxan,53445712
Febre90s,75854143
Domlaike,243729330
Duquesa,50052036
Kyan,824706931
Yunk Vino,853987925
Nabrisa,975970
Ryu, The Runner,524538583
SICKK,1366771
Danzo,217690147
Puterrier,20282376
Putodiparis,17036048
AçuK,22987360
Rare G,17476327
Marvin Mk,7838315
Cax Camp,10736514
Tokio DK,51176516
Jhowzin,28842316
Racovi,31184444
Bren,31387244
Bruxo021,79519555
Martelin,75120555
Marrekinn,2665
Cone Crew,294568233
Oriente,676677815
Raillow,40359663
Cartel Mcs,30386063
Haikass,861095395
Zaratrusta,70504372
3030,726839964
Black Alien,1815319322
NGC Dady,239754051
Neo BXD,7402471
Malagueta Mc,2130618
Brenu,2181144
Felp22,494318361
Aka Rasta,237110198
Criolo,647546597
Akira Presidente,45470757
CHS,34121265
Bril,62055601
Febem,33350793
Fabio Braza,100663906
Sueth,174676578
Salvador da Rima,422179472
MC Caverinha,454088123
Coruja BC1,73472249
